Date,TW_Bigdata,AC_Bigdata,TW_DB,AC_DB,Age,Sales
2011/4/1,1292,1540,1563,1613,48,70
2011/4/2,1320,1399,1260,1310,49,69
2011/4/3,1394,1281,893,943,39,74
2011/4/4,1399,1338,1043,1093,44,73
2011/4/5,1270,1396,1254,1304,41,69
2011/4/6,1292,1408,1301,1351,40,68
2011/4/7,1172,1271,988,1038,43,68
2011/4/8,1296,1337,1139,1189,43,68
2011/4/9,1375,1366,1126,1176,50,72
2011/4/10,1418,1276,842,892,37,76
2011/4/11,1235,1271,988,1038,48,68
2011/4/12,1488,1408,1162,1212,49,75
2011/4/13,1236,1311,1078,1128,39,68
2011/4/14,1444,1194,812,862,42,68
2011/4/15,1165,1373,1201,1251,46,69
2011/4/16,1140,1309,996,1046,49,72
2011/4/17,1460,1233,862,912,38,70
2011/4/18,1408,1286,962,1012,41,71
2011/4/19,1205,1446,1230,1280,44,76
2011/4/20,1249,1329,1043,1093,43,72
2011/4/21,1329,1342,1052,1102,41,73
2011/4/22,1355,1259,901,951,38,71
2011/4/23,1300,1442,1359,1409,42,69
2011/4/24,1542,1364,1064,1114,38,75
2011/4/25,1196,1222,855,905,45,69
2011/4/26,1304,1423,1218,1268,46,74
2011/4/27,1469,1218,768,818,41,73
2011/4/28,1258,1486,1303,1353,47,77
2011/4/29,1452,1447,1291,1341,38,73
2011/4/30,1212,1548,1541,1591,46,72
2011/5/1,1223,1156,665,715,47,71
2011/5/2,1310,1180,740,790,46,70
2011/5/3,1489,1394,1170,1220,40,73
2011/5/4,1333,1424,1219,1269,40,74
2011/5/5,1321,1308,975,1025,49,73
2011/5/6,1184,1601,1701,1751,48,70
2011/5/7,1306,1161,620,670,43,74
2011/5/8,1305,1304,1003,1053,43,71
2011/5/9,1469,1311,961,1011,49,74
2011/5/10,1215,1329,1022,1072,43,73
2011/5/11,1402,1449,1256,1306,48,75
2011/5/12,1310,1309,899,949,37,77
2011/5/13,1289,1331,1045,1095,39,72
2011/5/14,1260,1407,1220,1270,47,72
2011/5/15,1326,1075,501,551,38,70
2011/5/16,1439,1416,1161,1211,49,76
2011/5/17,1418,1511,1340,1390,38,78
2011/5/18,1044,1189,721,771,39,72
2011/5/19,1262,1235,787,837,47,74
2011/5/20,1249,1310,900,950,37,77
2011/5/21,1268,1328,1039,1089,49,72
2011/5/22,1307,1375,1108,1158,42,74
2011/5/23,1374,1159,615,665,39,74
2011/5/24,1378,1391,1086,1136,43,77
2011/5/25,1343,1354,982,1032,42,78
2011/5/26,1391,1339,987,1037,38,76
2011/5/27,1354,1207,783,833,50,71
2011/5/28,1318,1315,1010,1060,46,72
2011/5/29,1365,1537,1477,1527,47,74
2011/5/30,1443,1323,989,1039,38,74
2011/5/31,1248,1306,1009,1059,41,71
2011/6/1,1162,1378,1113,1163,49,74
2011/6/2,1389,1363,1061,1111,45,75
2011/6/3,1285,1340,1009,1059,44,75
2011/6/4,1361,1215,782,832,43,72
2011/6/5,1294,1275,937,987,47,71
2011/6/6,1351,1277,864,914,47,75
2011/6/7,1351,1203,774,824,38,71
2011/6/8,1329,1357,1048,1098,48,75
2011/6/9,1475,1272,774,824,42,79
2011/6/10,1413,1441,1220,1270,45,76
2011/6/11,1465,1364,1043,1093,39,76
2011/6/12,1400,1278,945,995,39,71
2011/6/13,1320,1146,506,556,40,78
2011/6/14,1307,1433,1240,1290,37,74
2011/6/15,1421,1381,1122,1172,48,74
2011/6/16,1178,1143,501,551,36,78
2011/6/17,1202,1403,1133,1183,46,76
2011/6/18,1180,1447,1252,1302,42,75
2011/6/19,1389,1340,1028,1078,41,74
2011/6/20,1434,1328,1000,1050,42,74
2011/6/21,1265,1226,767,817,37,74
2011/6/22,1368,1406,1178,1228,46,74
2011/6/23,1317,1465,1314,1364,49,74
2011/6/24,1308,1440,1177,1227,44,78
2011/6/25,1523,1525,1371,1421,46,78
2011/6/26,1391,1327,939,989,41,77
2011/6/27,1355,1386,1132,1182,46,74
2011/6/28,1391,1401,1186,1236,49,73
2011/6/29,1335,1421,1154,1204,39,77
2011/6/30,1409,1524,1408,1458,42,76
2011/7/1,1476,1365,988,1038,38,79
2011/7/2,1359,1452,1165,1215,39,80
2011/7/3,1234,1334,994,1044,38,75
2011/7/4,1318,1304,964,1014,44,73
2011/7/5,1226,1251,708,758,45,80
2011/7/6,1251,1301,860,910,39,78
2011/7/7,1386,1514,1386,1436,41,76
2011/7/8,1600,1461,1246,1296,38,77
2011/7/9,1346,1397,1100,1150,45,77
2011/7/10,1334,1458,1179,1229,41,80
2011/7/11,1246,1176,595,645,40,77
2011/7/12,1336,1431,1137,1187,40,79
2011/7/13,1470,1564,1421,1471,40,80
2011/7/14,1346,1303,788,838,35,82
2011/7/15,1310,1402,1168,1218,45,74
2011/7/16,1375,1429,1191,1241,44,76
2011/7/17,1523,1412,1192,1242,50,74
2011/7/18,1429,1503,1342,1392,36,77
2011/7/19,1498,1377,1074,1124,38,76
2011/7/20,1415,1425,1202,1252,37,75
2011/7/21,1465,1415,1024,1074,46,83
2011/7/22,1285,1273,797,847,38,78
2011/7/23,1335,1449,1100,1150,38,83
2011/7/24,1536,1531,1346,1396,44,80
2011/7/25,1508,1274,858,908,46,75
2011/7/26,1134,1257,798,848,43,76
2011/7/27,1280,1378,959,1009,42,82
2011/7/28,1412,1594,1432,1482,39,83
2011/7/29,1299,1386,976,1026,42,82
2011/7/30,1466,1632,1616,1666,45,78
2011/7/31,1477,1429,1133,1183,48,79
2011/8/1,1318,1463,1269,1319,37,76
2011/8/2,1277,1341,875,925,44,82
2011/8/3,1332,1329,924,974,43,78
2011/8/4,1429,1407,1044,1094,46,81
2011/8/5,1367,1331,869,919,45,81
2011/8/6,1430,1494,1282,1332,36,79
2011/8/7,1209,1230,641,691,46,81
2011/8/8,1267,1248,662,712,39,82
2011/8/9,1206,1510,1279,1329,41,81
2011/8/10,1545,1429,1036,1086,38,84
2011/8/11,1604,1439,1176,1226,44,78
2011/8/12,1491,1523,1271,1321,35,83
2011/8/13,1459,1455,1212,1262,41,78
2011/8/14,1313,1339,909,959,40,80
2011/8/15,1221,1267,783,833,38,78
2011/8/16,1657,1355,866,916,38,84
2011/8/17,1430,1553,1318,1368,40,84
2011/8/18,1427,1377,976,1026,45,81
2011/8/19,1693,1540,1288,1338,46,84
2011/8/20,1375,1473,1135,1185,44,84
2011/8/21,1603,1331,948,998,36,77
2011/8/22,1408,1400,949,999,38,85
2011/8/23,1436,1257,663,713,35,83
2011/8/24,1582,1580,1419,1469,38,82
2011/8/25,1250,1442,1181,1231,42,78
2011/8/26,1280,1237,656,706,41,81
2011/8/27,1388,1257,682,732,34,82
2011/8/28,1301,1682,1690,1740,39,80
2011/8/29,1509,1141,379,429,42,84
2011/8/30,1437,1450,1045,1095,45,86
2011/8/31,1237,1135,403,453,44,82
2011/9/1,1382,1514,1191,1241,41,86
2011/9/2,1204,1416,1063,1113,38,81
2011/9/3,1267,1295,808,858,44,80
2011/9/4,1431,1435,1049,1099,41,84
2011/9/5,1391,1303,805,855,44,81
2011/9/6,1514,1422,1019,1069,41,84
2011/9/7,1278,1407,1024,1074,37,82
2011/9/8,1354,1496,1305,1355,43,78
2011/9/9,1453,1403,1073,1123,35,79
2011/9/10,1549,1648,1497,1547,34,86
2011/9/11,1363,1632,1615,1665,44,78
2011/9/12,1587,1465,1195,1245,40,80
2011/9/13,1335,1844,2003,2053,38,83
2011/9/14,1242,1412,1074,1124,43,80
2011/9/15,1230,1435,1009,1059,36,86
2011/9/16,1345,1461,1070,1120,40,86
2011/9/17,1515,1372,926,976,45,83
2011/9/18,1284,1397,1021,1071,45,81
2011/9/19,1477,1470,1129,1179,35,84
2011/9/20,1443,1358,932,982,47,81
2011/9/21,1358,1251,649,699,35,83
2011/9/22,1186,1489,1173,1223,44,84
2011/9/23,1289,1193,594,644,45,79
2011/9/24,1515,1383,892,942,46,86
2011/9/25,1411,1420,995,1045,38,85
2011/9/26,1205,1162,426,476,40,84
2011/9/27,1371,1448,1078,1128,44,84
2011/9/28,1365,1195,561,611,38,81
2011/9/29,1306,1297,792,842,36,81
2011/9/30,1335,1156,451,501,44,82
2011/10/1,1275,1521,1304,1354,41,81
2011/10/2,1409,1246,658,708,46,82
2011/10/3,1570,1391,870,920,36,88
2011/10/4,1491,1416,1065,1115,41,81
2011/10/5,1522,1625,1542,1592,39,81
2011/10/6,1490,1405,923,973,37,87
2011/10/7,1635,1324,737,787,33,87
2011/10/8,1532,1490,1214,1264,46,82
2011/10/9,1372,1236,594,644,37,84
2011/10/10,1532,1372,904,954,46,84
2011/10/11,1496,1509,1237,1287,40,83
2011/10/12,1353,1394,878,928,33,88
2011/10/13,1292,1439,1117,1167,47,81
2011/10/14,1359,1416,987,1037,46,85
2011/10/15,1562,1420,975,1025,44,86
2011/10/16,1385,1501,1141,1191,38,87
2011/10/17,1325,1401,913,963,33,87
2011/10/18,1519,1505,1268,1318,43,81
2011/10/19,1637,1657,1458,1508,42,89
2011/10/20,1532,1363,866,916,44,85
2011/10/21,1358,1461,1070,1120,34,86
2011/10/22,1448,1250,588,638,42,86
2011/10/23,1382,1422,960,1010,40,87
2011/10/24,1468,1599,1325,1375,39,89
2011/10/25,1476,1295,672,722,37,87
2011/10/26,1561,1322,733,783,37,87
2011/10/27,1566,1388,845,895,40,89
2011/10/28,1477,1393,934,984,44,85
2011/10/29,1415,1533,1176,1226,38,89
2011/10/30,1453,1362,921,971,43,82
2011/10/31,1484,1493,1202,1252,38,83
2011/11/1,1436,1461,1069,1119,39,86
2011/11/2,1356,1526,1277,1327,40,83
2011/11/3,1433,1491,1098,1148,43,88
2011/11/4,1338,1256,622,672,44,85
2011/11/5,1505,1294,708,758,43,85
2011/11/6,1514,1303,651,701,43,89
2011/11/7,1433,1531,1288,1338,35,83
2011/11/8,1560,1560,1216,1266,39,90
2011/11/9,1550,1338,809,859,38,85
2011/11/10,1410,1488,1091,1141,42,88
2011/11/11,1351,1362,882,932,35,84
2011/11/12,1421,1451,1046,1096,41,86
2011/11/13,1320,1411,935,985,43,87
2011/11/14,1589,1628,1372,1422,36,90
2011/11/15,1382,1335,743,793,34,88
2011/11/16,1483,1604,1397,1447,36,86
2011/11/17,1274,1440,963,1013,39,89
2011/11/18,1320,1371,902,952,44,84
2011/11/19,1395,1410,952,1002,35,86
2011/11/20,1366,1272,657,707,43,85
2011/11/21,1341,1551,1256,1306,36,87
2011/11/22,1423,1312,787,837,35,83
2011/11/23,1478,1650,1403,1453,44,91
2011/11/24,1297,1416,870,920,32,91
2011/11/25,1641,1622,1319,1369,34,92
2011/11/26,1526,1592,1310,1360,34,89
2011/11/27,1339,1584,1292,1342,39,89
2011/11/28,1398,1437,956,1006,37,89
2011/11/29,1491,1333,777,827,43,86
2011/11/30,1302,1354,826,876,40,86
2011/12/1,1714,1402,798,848,31,93
2011/12/2,1552,1536,1143,1193,36,91
2011/12/3,1408,1724,1671,1721,34,86
2011/12/4,1227,1463,1014,1064,39,89
2011/12/5,1428,1676,1422,1472,32,93
2011/12/6,1370,1516,1136,1186,34,89
2011/12/7,1498,1526,1062,1112,38,94
2011/12/8,1212,1661,1487,1537,34,88
2011/12/9,1311,1243,473,523,32,91
2011/12/10,1433,1485,987,1037,41,93
2011/12/11,1589,1260,553,603,35,89
2011/12/12,1511,1678,1486,1536,36,90
2011/12/13,1313,1366,814,864,43,88
2011/12/14,1519,1279,595,645,41,89
2011/12/15,1403,1558,1173,1223,39,92
2011/12/16,1422,1497,1014,1064,32,93
2011/12/17,1519,1413,940,990,38,87
2011/12/18,1778,1401,776,826,35,94
2011/12/19,1408,1536,1163,1213,39,90
2011/12/20,1586,1455,978,1028,44,90
2011/12/21,1211,1516,1175,1225,35,87
2011/12/22,1592,1307,699,749,41,87
2011/12/23,1523,1511,1067,1117,42,92
2011/12/24,1556,1411,876,926,44,90
2011/12/25,1457,1491,981,1031,33,94
2011/12/26,1590,1307,580,630,33,93
2011/12/27,1568,1413,940,990,38,87
2011/12/28,1576,1450,1004,1054,36,88
2011/12/29,1439,1409,891,941,41,89
2011/12/30,1681,1325,562,612,33,96
2011/12/31,1281,1502,1105,1155,39,89
2012/1/1,1504,1514,1073,1123,38,92
2012/1/2,1450,1419,915,965,43,89
2012/1/3,1587,1467,986,1036,32,91
2012/1/4,1501,1528,1066,1116,34,94
2012/1/5,1400,1432,906,956,44,91
2012/1/6,1243,1643,1369,1419,36,92
2012/1/7,1766,1546,1067,1117,35,96
2012/1/8,1648,1355,711,761,40,92
2012/1/9,1403,1482,981,1031,38,93
2012/1/10,1540,1438,842,892,33,95
2012/1/11,1658,1534,1001,1051,39,98
2012/1/12,1502,1526,1002,1052,37,97
2012/1/13,1633,1563,1067,1117,35,98
2012/1/14,1483,1678,1330,1380,33,98
2012/1/15,1733,1604,1180,1230,32,97
2012/1/16,1571,1612,1317,1367,33,91
2012/1/17,1646,1532,1076,1126,32,94
2012/1/18,1430,1617,1270,1320,37,94
2012/1/19,1346,1619,1175,1225,32,99
2012/1/20,1473,1652,1388,1438,35,92
2012/1/21,1583,1224,372,422,33,94
2012/1/22,1506,1503,930,980,33,98
2012/1/23,1540,1783,1510,1560,39,101
2012/1/24,1426,1530,953,1003,33,100
2012/1/25,1592,1711,1347,1397,31,101
2012/1/26,1564,1713,1350,1400,35,101
2012/1/27,1351,1701,1362,1412,41,99
2012/1/28,1495,1653,1254,1304,34,99
2012/1/29,1599,1605,1104,1154,37,101
2012/1/30,1549,1643,1250,1300,33,98
2012/1/31,1502,1507,1017,1067,39,94
2012/2/1,1718,1447,784,834,30,99
2012/2/2,1529,1451,812,862,32,98
2012/2/3,1285,1731,1510,1560,30,95
2012/2/4,1793,1742,1398,1448,35,102
2012/2/5,1591,1611,1078,1128,36,103
2012/2/6,1533,1600,1092,1142,37,101
2012/2/7,1467,1604,1141,1191,40,99
2012/2/8,1559,1420,721,771,31,99
2012/2/9,1600,1680,1256,1306,32,102
2012/2/10,1545,1454,760,810,33,101
2012/2/11,1486,1527,869,919,34,104
2012/2/12,1548,1649,1166,1216,41,103
2012/2/13,1715,1570,987,1037,32,103
2012/2/14,1440,1618,1192,1242,32,98
2012/2/15,1669,1688,1237,1287,35,104
2012/2/16,1568,1558,919,969,27,105
2012/2/17,1485,1353,588,638,34,98
2012/2/18,1683,1705,1274,1324,29,104
2012/2/19,1496,1737,1386,1436,36,102
2012/2/20,1465,1623,1107,1157,35,103
2012/2/21,1355,1553,967,1017,32,102
2012/2/22,1589,1654,1177,1227,35,103
2012/2/23,1622,1692,1324,1374,34,100
2012/2/24,1490,1586,1043,1093,28,102
2012/2/25,1627,1498,822,872,35,103
2012/2/26,1607,1609,1114,1164,34,101
2012/2/27,1710,1650,1228,1278,40,100
2012/2/28,1647,1651,1230,1280,36,100
2012/2/29,1572,1167,106,156,36,101
2012/3/1,1436,1593,1039,1089,28,103
2012/3/2,1523,1520,911,961,36,101
2012/3/3,1525,1716,1202,1252,28,109
2012/3/4,1622,1354,512,562,32,102
2012/3/5,1691,1703,1270,1320,30,104
2012/3/6,1605,1790,1352,1402,36,110
2012/3/7,1497,1738,1351,1401,37,104
2012/3/8,1612,1639,1007,1057,38,110
2012/3/9,1671,1642,1052,1102,31,108
2012/3/10,1698,1679,1079,1129,33,111
2012/3/11,1641,1672,1122,1172,34,108
2012/3/12,1750,1631,950,1000,28,112
2012/3/13,1317,1773,1351,1401,30,108
2012/3/14,1732,1550,842,892,30,108
2012/3/15,1815,1574,858,908,26,110
2012/3/16,1693,1770,1168,1218,25,117
2012/3/17,1519,1606,793,843,30,117
2012/3/18,1768,1519,752,802,34,109
2012/3/19,1732,1719,1170,1220,29,111
2012/3/20,1694,1722,1216,1266,31,109
2012/3/21,1844,1806,1270,1320,35,116
2012/3/22,1689,1682,1028,1078,34,114
2012/3/23,1640,1643,897,947,24,116
2012/3/24,1645,1595,751,801,32,118
2012/3/25,1759,1612,690,740,23,123
2012/3/26,1887,1632,854,904,23,117
2012/3/27,1755,1755,1056,1106,30,121
2012/3/28,1868,1738,1037,1087,33,120
2012/3/29,2062,1667,934,984,29,117
2012/3/30,1711,1918,1350,1400,26,125
2012/3/31,1546,1700,853,903,31,125
